25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:34:48.027 - INFO: ==> Resuming Training with learning rate:0.0003
25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:41:55.055 - INFO: 0001 00074 diff=0.023961, exp_diff=0.023465, Loss_Reg=0.023961, Lambda=0.06666666666666667, Loss_Rev=0.212651, Loss_All=0.236612, Time=5.3906
25-08-05 14:42:00.488 - INFO: 0001 00075 diff=0.031663, exp_diff=0.030940, Loss_Reg=0.031663, Lambda=0.06666666666666667, Loss_Rev=0.280601, Loss_All=0.312264, Time=5.4326
25-08-05 14:42:05.966 - INFO: 0001 00076 diff=0.037029, exp_diff=0.036125, Loss_Reg=0.037029, Lambda=0.06666666666666667, Loss_Rev=0.327800, Loss_All=0.364829, Time=5.4772
25-08-05 14:42:11.406 - INFO: 0001 00077 diff=0.055032, exp_diff=0.053963, Loss_Reg=0.055032, Lambda=0.06666666666666667, Loss_Rev=0.488820, Loss_All=0.543851, Time=5.4396
25-08-05 14:42:16.818 - INFO: 0001 00078 diff=0.045270, exp_diff=0.044703, Loss_Reg=0.045270, Lambda=0.06666666666666667, Loss_Rev=0.404003, Loss_All=0.449273, Time=5.4109
25-08-05 14:42:22.264 - INFO: 0001 00079 diff=0.034692, exp_diff=0.034200, Loss_Reg=0.034692, Lambda=0.06666666666666667, Loss_Rev=0.309251, Loss_All=0.343943, Time=5.4454
25-08-05 14:42:29.855 - INFO: 0001 00080 diff=0.021799, exp_diff=0.021228, Loss_Reg=0.021799, Lambda=0.06666666666666667, Loss_Rev=0.192742, Loss_All=0.214541, Time=7.5900
25-08-05 14:42:35.327 - INFO: 0001 00081 diff=0.032213, exp_diff=0.031401, Loss_Reg=0.032213, Lambda=0.06666666666666667, Loss_Rev=0.285015, Loss_All=0.317229, Time=5.4718
25-08-05 14:42:40.775 - INFO: 0001 00082 diff=0.024074, exp_diff=0.023584, Loss_Reg=0.024074, Lambda=0.06666666666666667, Loss_Rev=0.213707, Loss_All=0.237781, Time=5.4470
25-08-05 14:42:46.220 - INFO: 0001 00083 diff=0.025426, exp_diff=0.024896, Loss_Reg=0.025426, Lambda=0.06666666666666667, Loss_Rev=0.225634, Loss_All=0.251060, Time=5.4434
25-08-05 14:42:51.670 - INFO: 0001 00084 diff=0.021087, exp_diff=0.020682, Loss_Reg=0.021087, Lambda=0.06666666666666667, Loss_Rev=0.187333, Loss_All=0.208420, Time=5.4499
25-08-05 14:42:57.131 - INFO: 0001 00085 diff=0.018200, exp_diff=0.017684, Loss_Reg=0.018200, Lambda=0.06666666666666667, Loss_Rev=0.160680, Loss_All=0.178880, Time=5.4605
25-08-05 14:43:02.598 - INFO: 0001 00086 diff=0.023015, exp_diff=0.022842, Loss_Reg=0.023015, Lambda=0.06666666666666667, Loss_Rev=0.206090, Loss_All=0.229106, Time=5.4657
25-08-05 14:43:08.053 - INFO: 0001 00087 diff=0.032322, exp_diff=0.031252, Loss_Reg=0.032322, Lambda=0.06666666666666667, Loss_Rev=0.284430, Loss_All=0.316751, Time=5.4544
25-08-05 14:43:13.531 - INFO: 0001 00088 diff=0.018069, exp_diff=0.017592, Loss_Reg=0.018069, Lambda=0.06666666666666667, Loss_Rev=0.159741, Loss_All=0.177809, Time=5.4775
25-08-05 14:43:18.994 - INFO: 0001 00089 diff=0.038428, exp_diff=0.038012, Loss_Reg=0.038428, Lambda=0.06666666666666667, Loss_Rev=0.343338, Loss_All=0.381766, Time=5.4619
25-08-05 14:43:26.544 - INFO: 0001 00090 diff=0.032389, exp_diff=0.031625, Loss_Reg=0.032389, Lambda=0.06666666666666667, Loss_Rev=0.286889, Loss_All=0.319278, Time=7.5488
25-08-05 14:43:31.982 - INFO: 0001 00091 diff=0.016110, exp_diff=0.015708, Loss_Reg=0.016110, Lambda=0.06666666666666667, Loss_Rev=0.142561, Loss_All=0.158671, Time=5.4379
25-08-05 14:43:37.433 - INFO: 0001 00092 diff=0.025686, exp_diff=0.024995, Loss_Reg=0.025686, Lambda=0.06666666666666667, Loss_Rev=0.226999, Loss_All=0.252685, Time=5.4507
25-08-05 14:43:42.868 - INFO: 0001 00093 diff=0.027149, exp_diff=0.026554, Loss_Reg=0.027149, Lambda=0.06666666666666667, Loss_Rev=0.240743, Loss_All=0.267892, Time=5.4341
25-08-05 14:43:48.327 - INFO: 0001 00094 diff=0.021780, exp_diff=0.021307, Loss_Reg=0.021780, Lambda=0.06666666666666667, Loss_Rev=0.193163, Loss_All=0.214943, Time=5.4583
25-08-05 14:43:53.757 - INFO: 0001 00095 diff=0.026288, exp_diff=0.025404, Loss_Reg=0.026288, Lambda=0.06666666666666667, Loss_Rev=0.231246, Loss_All=0.257533, Time=5.4290
25-08-05 14:43:59.198 - INFO: 0001 00096 diff=0.024639, exp_diff=0.023908, Loss_Reg=0.024639, Lambda=0.06666666666666667, Loss_Rev=0.217335, Loss_All=0.241974, Time=5.4400
25-08-05 14:44:04.675 - INFO: 0001 00097 diff=0.017846, exp_diff=0.017344, Loss_Reg=0.017846, Lambda=0.06666666666666667, Loss_Rev=0.157580, Loss_All=0.175426, Time=5.4762
25-08-05 14:44:10.117 - INFO: 0001 00098 diff=0.047503, exp_diff=0.046947, Loss_Reg=0.047503, Lambda=0.06666666666666667, Loss_Rev=0.424167, Loss_All=0.471670, Time=5.4412
25-08-05 14:44:15.552 - INFO: 0001 00099 diff=0.019074, exp_diff=0.018556, Loss_Reg=0.019074, Lambda=0.06666666666666667, Loss_Rev=0.168532, Loss_All=0.187606, Time=5.4352
25-08-05 14:44:23.108 - INFO: 0001 00100 diff=0.023542, exp_diff=0.023127, Loss_Reg=0.023542, Lambda=0.06666666666666667, Loss_Rev=0.209368, Loss_All=0.232910, Time=7.5550
25-08-05 14:44:28.577 - INFO: 0001 00101 diff=0.028687, exp_diff=0.027597, Loss_Reg=0.028687, Lambda=0.06666666666666667, Loss_Rev=0.251596, Loss_All=0.280282, Time=5.4682
25-08-05 14:44:34.019 - INFO: 0001 00102 diff=0.021098, exp_diff=0.020564, Loss_Reg=0.021098, Lambda=0.06666666666666667, Loss_Rev=0.186655, Loss_All=0.207752, Time=5.4410
25-08-05 14:44:39.431 - INFO: 0001 00103 diff=0.018644, exp_diff=0.018159, Loss_Reg=0.018644, Lambda=0.06666666666666667, Loss_Rev=0.164866, Loss_All=0.183510, Time=5.4112
